id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
GDL2FL1EV,1000,294.27,4.8,85,87.06%;,9.41%;,1.18%;,1.18%;,1.18%;,,,,,,,,,,
KDPDDDVG532P,500,311.58,4.9,102,91.18%;,5.88%;,1.96%;,0%;,0.98%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.8,,,,
CBODTHA1,10mil,199.66,4.7,"1,141",83.44%;,9.2%;,3.68%;,0.96%;,2.72%;,Relación precio-calidad,4.7,Calidad de los materiales,4.7,Resistencia,4.7,Instalación,4.8,,
PDH3IP51,100,735.16,4.9,9,88.89%;,11.11%;,0%;,0%;,0%;,,,,,,,,,,
GDL2FL1EV,1000,294.27,4.8,85,87.06%;,9.41%;,1.18%;,1.18%;,1.18%;,,,,,,,,,,
2LESLPDFB,1000,158.46,4.7,175,79.43%;,13.71%;,3.43%;,1.71%;,1.71%;,Relación precio-calidad,4.5,Calidad de los materiales,4.3,Calidad de las terminaciones,4.4,,,,
4SDPDD5CPD,100,212.05,4.8,46,89.13%;,6.52%;,4.35%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
CSL3LDU8M3,100mil,89.65,4.7,"4,692",80.92%;,11.87%;,3.75%;,1.13%;,2.32%;,,,,,,,,,,
CPBEE,1000,599.Nuevo  |  +1000 vendidos,4.7,319,82.45%;,12.23%;,4.08%;,0.31%;,0.94%;,Relación precio-calidad,4.7,Facilidad al limpiar,4.7,Calidad de los materiales,4.6,Practicidad,4.7,,
GDL2FVD1PE,1000,206.51,4.9,120,89.17%;,8.33%;,1.67%;,0%;,0.83%;,,,,,,,,,,
CBPVTP1,10mil,298.Nuevo  |  +10mil vendidos,4.8,"2,593",85.54%;,11.07%;,2.12%;,0.5%;,0.77%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Instalación,4.9,Resistencia,4.7,,
DPDDHCE4P,100,298.15,4.8,16,87.5%;,6.25%;,6.25%;,0%;,0%;,Relación precio-calidad,4.5,Calidad de la imagen,4.4,Calidad de las terminaciones,4.4,,,,
GDLS16FEJ8M,10mil,156.14,4.3,"2,932",65.08%;,16.71%;,8.94%;,3.79%;,5.49%;,Relación precio-calidad,4.4,Calidad de la iluminación,4,,,,,,
CBPVAT1,10mil,187.78,4.6,"1,605",79.31%;,11.53%;,5.11%;,1.62%;,2.43%;,Relación precio-calidad,4.6,Calidad de los materiales,4.6,Resistencia,4.6,Instalación,4.8,,
FAW11DFB,10mil,145.40,4.7,725,81.93%;,13.1%;,3.31%;,0.55%;,1.1%;,,,,,,,,,,
CDNCÁMT,100,343.17,4.8,23,86.96%;,8.7%;,0%;,4.35%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.6,,,,
CSL3LDU32P,10mil,167.56,4.7,"1,872",82.05%;,12.23%;,3.04%;,1.07%;,1.6%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
6HBO7MD,1000,79.60,4.8,174,89.08%;,4.6%;,2.3%;,1.15%;,2.87%;,,,,,,,,,,
GDL2FDEVI,100mil,197.33,4.7,"3,829",83.36%;,11.23%;,2.85%;,0.68%;,1.88%;,,,,,,,,,,
CLCG3L8M3BC,1000,91.43,4.9,77,90.91%;,6.49%;,1.3%;,1.3%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.7,,,,,,
PSE,1000,475.Nuevo  |  +1000 vendidos,4.9,311,95.5%;,3.22%;,0.96%;,0%;,0.32%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.7,Resistencia,4.7,,
CDBNIAPB,100,173.10,5.0,14,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Facilidad al limpiar,5,Calidad de los materiales,4.6,Practicidad,4.8,,
CDDÁMT,50,343.17,4.8,10,90%;,0%;,10%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
CLCG3L8M3BC,1000,91.43,4.9,77,90.91%;,6.49%;,1.3%;,1.3%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.7,,,,,,
5CFRADBF5,5mil,168.25,4.6,276,80.07%;,10.87%;,5.07%;,1.09%;,2.9%;,,,,,,,,,,
